movieId,title,genres,keywords
tt0458481,Sin City: A Dame to Kill For,"Crime, Action, Thriller","detective, dystopia, dominatrix, murder, twins, based on graphic novel, neo-noir"
tt1071875,Ghost Rider: Spirit of Vengeance,"Action, Fantasy, Thriller","dying and death, skeleton, angel, monk, superhero, anti hero, eastern europe, cult, pact with the devil, biker, based on comic, motorcycle, devil, demon, dark hero, flamethrower, super power, devil worship"
tt3569230,Legend,"Crime, Thriller","gangster, biography, based on true story, twins"
tt0063522,Rosemary's Baby,"Drama, Horror, Thriller","husband wife relationship, based on novel or book, satanism, conspiracy, demonic possession, satanic ritual, pregnant wife, coven (akelarre), satanic cult, manhattan, new york city, woman in jeopardy, neighbor neighbor relationship"
tt1206885,Rambo: Last Blood,"Action, Thriller, Drama","post-traumatic stress disorder (ptsd), arizona, human trafficking, sequel, father figure, last stand, horse ranch, mexican american border, revenge plot, mexican cartel"
tt1220634,Resident Evil: Afterlife,"Action, Adventure, Horror, Science Fiction","dystopia, post-apocalyptic future, undead, evil corporation, biohazard, zombie, based on video game, duringcreditsstinger"
tt0113189,GoldenEye,"Adventure, Action, Thriller","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army"
tt1974419,The Neon Demon,"Thriller, Horror","jealousy, photographer, psychopath, obsession, necrophilia, motel, narcissism, manipulation, seduction, surrealism, swimming pool, murder, fame, teenage girl, los angeles, california, bathtub, lust, model, cannibal, fashion, eyeball, mortuary, body image, neon light, absurd, violence, callous"
tt0472181,The Smurfs,"Animation, Family, Adventure, Comedy, Fantasy","moon, magic, based on comic, blue, vortex, cat and mouse, duringcreditsstinger, live action and animation"
tt0443272,Lincoln,"History, Drama","mutiny, usa president, based on true story, speech, battlefield, historical fiction, family conflict, mourning, american civil war, cultural conflict, battle of gettysburg, secession, presidential cabinet, gettysburg address, conflagration, ethical dilemma, emancipation, 19th century, abraham lincoln, abraham"
tt1051904,Goosebumps,"Adventure, Horror, Comedy","based on novel or book, magic, yeti, werewolf, family, new home, recluse, autumn, book comes to life, ventriloquist's dummy, praying mantis, new school, girl next door"
tt0414982,Final Destination 3,"Horror, Mystery","dying and death, stroke of fate, beheading, omen, premonition, burned alive, death"
tt0089880,Rambo: First Blood Part II,"Action, Adventure, Thriller, War","vietnam war, vietnam veteran, vietnam, helicopter, government, prisoner, chase, submachine gun, liberation of prisoners, photography, machinegun, prisoner of war, liberation, leech, us army, forest, sequel, revenge, torture, soldier, explosion, bow and arrow, exploding body, agent, russian army, electrical torture, denunciation"
tt2850386,The Croods: A New Age,"Animation, Family, Adventure, Fantasy, Comedy","sequel, prehistory, candid, playful, joyous, admiring, adoring"
tt0435625,The Descent,"Adventure, Horror","panic, darkness, mutant, expedition, cave, claustrophobia, trauma, gore, female friendship, rope, climbing, appalachia, friends, female protagonist, best friend, creature, survival horror, grieving, speleology, brutal violence, camcorder, suspenseful"
tt0381707,White Chicks,"Comedy, Crime","undercover, fbi, cross dressing, car accident, high society, buddy cop, hamptons"
tt0309698,Identity,"Mystery, Thriller","prostitute, prisoner, psychopath, nevada, detective, rain, motel, weather, ex-cop, murder, stranded, serial killer, slasher, psychological thriller, whodunit, storm, psychiatrist, convict, thunderstorm, rainstorm, split personality, mental disorders, murder mystery, dissociative identity disorder, isolated place"
tt0183505,"Me, Myself & Irene",Comedy,"schizophrenia, road trip, ex-cop, aftercreditsstinger, duringcreditsstinger"
tt0462590,Step Up,"Music, Drama, Romance, Crime","dancing, dance, new love, baltimore, usa, art school, woman director"
tt1306980,50/50,"Comedy, Drama","friendship, parent child relationship, therapist, painter, cancer, psychologist, hospital, best friend, doctor, patient, doctor patient relationship, vomiting, chemotherapy"
tt0251127,How to Lose a Guy in 10 Days,"Comedy, Romance","bet, new york city, journalist, therapist, advertising expert, romantic comedy, relationship, screwball comedy, battle of the sexes"
tt0120660,Enemy of the State,"Action, Drama, Thriller","helicopter, washington dc, usa, corruption, espionage, politics, identity, falsely accused, mexican standoff, baltimore, usa, wiretap, satellite, national security agency (nsa), exploding building, mafia, conspiracy, lawyer, privacy, surveillance, voyeur, secret hideout, dramatic, antagonistic, authoritarian, subjective"
tt0424095,Flushed Away,"Adventure, Animation, Comedy, Family","ship, london, england, return, girlfriend, rubin"
tt0322330,Freaky Friday,"Comedy, Family, Fantasy","high school, concert, sibling relationship, single parent, talk show, mistake in person, bride, body exchange, fortune cookie, motherly love, wedding, psychiatrist, body-swap, teen comedy, child as an adult, adult as a child, mother daughter relationship"
tt0138749,The Road to El Dorado,"Family, Adventure, Animation, Comedy, Fantasy","gold, horse, cartoon, musical, con artist, sword fight, adventurer, 16th century, conquistador, el dorado, age of discovery"
tt0103772,Basic Instinct,"Thriller, Mystery","dying and death, california, jealousy, sexual obsession, police, san francisco, california, sadism, psychopath, detective, eroticism, bisexuality, suspicion of murder, lover, striptease, celebrity, femme fatale, sociopath, dead, neo-noir, erotic thriller, manipulative woman, novel writing, killed during sex, american giallo"
tt1389072,Downsizing,"Drama, Science Fiction","future, computer, therapist, married couple, shrinking, crowd, speculative, meditative, caucasian, thoughtful, reflective, pc, procedure, loving, inspirational, grand, provocative, direct, dramatic, sentimental, awestruck, bold, dignified, enchant, euphoric, exhilarated, hopeful, powerful, sympathetic"
tt0452608,Death Race,"Action, Thriller, Science Fiction","prison, martial arts, car race, dystopia, matter of life and death, car crash, prison guard, prison escape, exploding building, vehicle combat, street race, remake, car fire, action hero, death game"
tt1524930,Vacation,Comedy,"route 66, vacation, grand canyon, dysfunctional family, road trip, sequel, family vacation, truck driver, amusement park, roller coaster / rollercoaster, theme park, bipolar disorder, plano texas, airplane pilot"
tt0910936,Pineapple Express,"Action, Comedy, Crime","smoking, witness, cannabis, marijuana, stoner, roach, painting toenails, radio call in show, seed, stoner movie"
tt0078346,Superman,"Science Fiction, Action, Adventure","galaxy, journalist, saving the world, secret identity, crime fighter, superhero, nuclear missile, based on comic, destruction of planet, criminal, sabotage, super power, north pole, midwest, newspaper office, superhuman strength, aftercreditsstinger, save the day, evil genius, rural life"
tt0898367,The Road,"Adventure, Drama","based on novel or book, dystopia, post-apocalyptic future, paternity, abandoned house, survival, on the road, duringcreditsstinger, starvation, bomb shelter, father son relationship, cannibalism"
tt0363163,Downfall,"Drama, History, War","dying and death, based on novel or book, nazi, clerk, dictator, poison, despair, traitor, world war ii, bunker, destroy, testament, capitulation, soviet military, race politics, national socialism, ideology, minister, national socialist party, historical figure, german shepherd, 1940s, adolf hitler"
tt0825232,The Bucket List,"Drama, Comedy","dying and death, friendship, husband wife relationship, himalaya mountain range, parent child relationship, brain tumor, africa, journey around the world, sense of life, safari, male friendship, wish, terminal illness, road trip, cancer, billionaire, estranged father, list, elderly, journey, bucket list, taj mahal, india"
tt0497465,Vicky Cristina Barcelona,"Drama, Romance","barcelona, spain, photographer, artist, menage a trois, painter, author, summer, polyamory, bohemian"
tt0119822,As Good as It Gets,"Drama, Comedy, Romance","friendship, waitress, single parent, restaurant, lone wolf, painter, road trip, neighbor, author, obsessive compulsive disorder, cowardliness, writer, dog, rude, obnoxious, unlikely friendship, hospitalization, pets, mother son relationship, gay artist, lgbt interest, daily routine, romance novelist, child with illness"
tt1220719,Ip Man,"Drama, Action, History","martial arts, kung fu, sports, foreigner, bravery, rice, katana, market, tragic hero, second sino-japanese war (1937-45), racism, sadist, master, wing chun, bayonet"
tt0960144,You Don't Mess with the Zohan,"Comedy, Action","new york city, israel, palestinian-israeli conflict, mossad, middle east, hairdresser, ladykiller, heart-throb, hairstyle, hacky sack"
tt2402927,Carol,"Romance, Drama","hotel, new year's eve, chicago, illinois, new york city, based on novel or book, parent child relationship, age difference, department store, photography, road trip, lesbian relationship, divorce, lesbian sex, lgbt, santa hat, child custody, older woman younger woman relationship, 1950s, lesbian"
tt0071315,Chinatown,"Crime, Drama, Mystery, Thriller","dying and death, sea, pedophilia, rape, mistake in person, river, chinatown, barrage, conspiracy, whodunit, los angeles, california, private detective, neo-noir"
tt0172493,"Girl, Interrupted",Drama,"based on novel or book, escape, suicide attempt, identity, insanity, female friendship, based on true story, borderline personality disorder, psychiatric hospital, mental institution, female protagonist, based on memoir or autobiography, psychiatrist, mental illness, psychiatric ward, meditative, 1960s, factual, distressing, exuberant"
tt1131734,Jennifer's Body,"Horror, Comedy","high school, minnesota, possession, slumber party, gore, sexual murder, teenage girl, demon, rock band, succubus, satanic ritual, candlelight vigil, duringcreditsstinger, woman director, virgin sacrifice, frenemies, bloodthirsty"
tt4209788,Molly's Game,"Drama, Crime","new york city, court, poker, gambling, bratva (russian mafia), olympic games, fbi, biography, arrest, based on true story, celebrity, trial, beating, lawyer, female protagonist, los angeles, california, courtroom, ice skating, snow skiing, card playing, employer employee relationship, courtroom drama, cleavage, high stakes, mob, father daughter relationship"
tt0449467,Babel,Drama,"daughter, first time, loss of loved one, gun, deaf-mute, san diego, california, ecstasy, nanny, illegal immigration, morocco, drug use, tokyo, japan, bullet wound, multiple storylines, tijuana, incident, non linear"
tt0074285,Carrie,"Horror, Thriller","high school, child abuse, based on novel or book, isolation, cemetery, stage, bible, telekinesis, teacher, revenge, unrequited love, prom, religion, teenage girl, school, cruelty, rage, humiliation, crucifix, praying, outsider, taunting, abusive mother, firestorm, religious horror, mother daughter relationship, supernatural horror, school bullying"
tt3717252,Underworld: Blood Wars,"Fantasy, Action, Thriller, Horror","martial arts, sword, vampire, hybrid, ambition, sequel, betrayal, conspiracy, werewolf, gothic, uzi, dark fantasy, woman director, urban gothic"
tt11032374,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Action, Animation, Adventure, Fantasy, Thriller","fight, magic, supernatural, psychology, gore, coming of age, survival, tragedy, based on manga, demon, historical, family, mutilation, adult animation, dark fantasy, shounen, anime, taisho, based on tv series"
